experiment	track	primary_metric	status	commit	description
E0011	primary	0.068942	discard	cf2cbc889466e27d57f7889d78b3793ba380766c	verification parade: svm_rbf_platt - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0012	primary	0.041707	discard	d848d58c3257c0b9e08c56b2ddd14f72c907a865	verification parade: svm_linear_platt - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0013	primary	0.06756	discard	d21e8063f7cb91bd4f4addfce226b012c8047fca	verification parade: rf - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0014	primary	0.075	discard	2d17e0d68c604bc236170df1d413de8ef5e03ce1	verification parade: rf_isotonic - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0015	primary	0.046714	discard	751f2dccf23e0a3e8b5bd4c9ad9c98ff3419582c	verification parade: extratrees - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0016	primary	0.050192	discard	29e2bcd9786dcdc272cb79a073686359285c54fc	verification parade: hgbt - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0017	primary	0.056824	discard	e0351803ef509b810209cdf8cd9c3ffc016700b7	verification parade: hgbt_isotonic - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0018	primary	NA	crash	2c25a1a9c4b82950f43ba7b48cb7675baad20eae	verification parade: gpc_rbf - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); process exit code 1
E0019	primary	0.094163	discard	cd03e8d7ec204b892cc4ba3630481b39296cb3b7	verification parade: mlp_small - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0020	primary	0.055303	discard	e7764c33a10a0251800e15d2f34ae10594ba940d	verification parade: tabpfn - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0021	primary	0.054707	discard	901d150cd401df27ea059838469b816884610946	verification parade: tabpfn_e16 - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); did not improve track frontier 0.029442 by minimum_delta=0.029
E0022	primary	NA	crash	07f25c8482b4d4152e3dd0c1b8c8c88f0dbfc782	verification parade: vote_soft - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); process exit code 1
E0023	primary	NA	crash	f940e58f472b2f04b587d35c8b6df19b0ac98423	verification parade: stack_logit - registered challenger, declared split, door-ajar contest (keep needs dev Brier <= 0.000442); process exit code 1
E0024	primary	0.077176	discard	47bbcc187a9887cbdfbcd44c3fb33cf39dc85ffb	SEALED T1 (Branch G): coda_primary = anchor_lda4 on all train rows; registered prediction |sealed - 0.029442| <= 2x0.029 (program.md pre-committed lines); sealed final-test evidence; excluded from the adaptive frontier
E0025	challenger	0.066863	discard	c17d7cfa9182e127aaa218d8ef5c4f39e52b6805	SEALED T2 (Branch G): coda_challenger = tabpfn v2 on all train rows - the 1936-vs-2025 marquee gap; registered prediction g = T1 - T2 inside arena band [-0.0160, +0.0050]; sealed final-test evidence; excluded from the adaptive frontier
